zip_code,Studio,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom
15437,1030,1100,1320,1680,1810
15438,710,760,910,1160,1250
15439,800,850,1020,1300,1400
15440,900,940,1150,1440,1670
15442,900,970,1160,1480,1590
15443,1170,1250,1500,1910,2060
15444,800,850,1020,1300,1400
15445,870,930,1110,1420,1530
15446,800,850,1020,1300,1400
15447,750,750,980,1190,1330
15448,890,950,1130,1440,1560
15449,790,840,1010,1290,1390
15450,810,860,1030,1320,1420
15451,880,930,1130,1430,1610
15454,1070,1150,1370,1750,1880
15455,840,900,1080,1370,1480
15456,800,850,1020,1300,1400
15458,1330,1420,1700,2170,2340
15459,760,810,970,1240,1330
15460,820,880,1060,1350,1450
15461,820,880,1050,1340,1440
15462,800,850,1020,1300,1400
15463,810,860,1030,1320,1420
15464,930,990,1190,1520,1630
15465,790,840,1010,1290,1390
15466,1190,1270,1520,1940,2090
15467,820,870,1060,1340,1460
15468,1050,1120,1340,1710,1840
15469,740,790,950,1210,1310
15470,910,970,1160,1480,1600
15472,830,880,1060,1350,1460
15473,750,800,960,1220,1320
15474,940,1000,1200,1530,1650
15475,820,880,1050,1340,1440
15476,800,850,1020,1300,1400
15477,730,780,930,1190,1280
15478,830,890,1070,1360,1470
15479,890,950,1140,1450,1570
15480,790,840,1010,1290,1390
15482,770,830,990,1260,1360
15483,710,760,910,1160,1250
15484,800,850,1020,1300,1400
15486,1120,1200,1440,1840,1980
15488,790,840,1010,1290,1390
15489,780,840,1000,1270,1370
15490,740,790,950,1210,1310
15492,810,860,1030,1320,1420
15501,780,790,910,1230,1320
15531,850,860,990,1340,1440
15557,780,790,910,1230,1320
15601,880,940,1130,1440,1550
15606,860,920,1100,1400,1510
15610,760,820,980,1250,1350
15611,710,760,910,1160,1250
15612,760,810,970,1230,1330
15613,860,930,1150,1460,1620
15615,900,960,1150,1470,1580
15616,1000,1060,1280,1630,1750
15617,800,860,1030,1310,1420
15618,740,800,980,1250,1370
15619,880,940,1130,1440,1550
15620,960,1030,1230,1570,1690
15621,860,920,1100,1400,1510
15622,810,870,1040,1330,1430
15623,900,970,1160,1480,1590
15624,890,960,1150,1470,1580
15625,900,960,1150,1470,1580
15626,740,790,950,1210,1310
15627,780,830,1000,1280,1370
15628,860,920,1100,1400,1510
15629,900,960,1150,1470,1580
15631,800,860,1030,1310,1420
15632,1080,1160,1390,1770,1910
15633,970,1030,1240,1580,1700
15634,730,780,930,1190,1280
15635,890,950,1150,1460,1570
15636,910,980,1170,1490,1600
15637,1000,1070,1280,1630,1760
15638,890,950,1140,1450,1570
15639,1500,1600,1920,2450,2640
15640,790,840,1010,1290,1390
15641,730,780,940,1200,1290
15642,930,990,1190,1520,1630
