Name,Type,Price,Neighborhood,Address,Latitude,Longitude,Bedrooms,Bathrooms,Sq. Footage,Rent Period,Laundry,Parking,Link to Listing
Wonderful location for commuters! We're near public transit - apts/housing for rent - apartment rent - craigslist,Apartment,$925,Indiana,"1935 Merry Pl, Indiana, PA 15701",40.612489,-79.180604,3,1,1000,monthly,laundry in bldg,off-street parking,https://pittsburgh.craigslist.org/apa/d/indiana-wonderful-location-for/7787635857.html
"Off Street Parking, Cable/Satellite, Window Coverings - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,467",Pittsburgh,"401 Abbeyville Rd, Pittsburgh, PA 15228",40.350699,-80.048058,2,2,980,monthly,no laundry on site,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-off-street-parking-cable/7785918073.html
Shady Side Newly Renovated Studio - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,200",Pittsburgh,"Maryland Street, Pittsburgh, PA 15232",40.452968,-79.922473,N/A,1,300,monthly,laundry in bldg,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-shady-side-newly-renovated/7791712164.html
"""Why deal with leases and deposits?” - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,049",Carnegie,"520 N. Bell Avenue, Carnegie, PA 15106",40.417058,-80.088894,1,1,N/A,monthly,laundry on site,off-street parking,https://pittsburgh.craigslist.org/apa/d/carnegie-why-deal-with-leases-and/7791700612.html
Sec. 8 OK - apts/housing for rent - apartment rent - craigslist,House,"$1,595",Pittsburgh,"73 Edenvale St., Pittsburgh, PA 15212",40.462510,-80.003068,3,1,N/A,monthly,w/d hookups,street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-sec-ok/7790476746.html
Sec. 8 OK - apts/housing for rent - apartment rent - craigslist,House,"$1,995",Pittsburgh,"262 Kennedy Ave., Pittsburgh, PA 15214",40.474306,-80.012400,4,1,N/A,monthly,w/d hookups,street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-sec-ok/7787936929.html
Section 8 Accepted - 2 Bedroom Duplex - apts/housing for rent - apartment rent - craigslist,Apartment,$913,Mckeesport,N/A,40.347800,-79.864200,2,1,N/A,monthly,w/d hookups,carport,https://pittsburgh.craigslist.org/apa/d/mckeesport-section-accepted-bedroom/7791698199.html
Phenomenal 2 BR double balc w/ensuite laundry Mt Lebo 11/15 - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,600",Pittsburgh,"37 ACADEMY AVENUE, MT LEBANON, PA 15228",40.369600,-80.043900,2,1,N/A,monthly,w/d in unit,attached garage,https://pittsburgh.craigslist.org/apa/d/pittsburgh-phenomenal-br-double-balc/7791704442.html
3 Level Townhome! W/D in Unit! Deck! Central Air! Parking!3061 - apts/housing for rent - apartment rent - craigslist,House,"$1,995",Pittsburgh,"Terrace street, Pittsburgh, PA 15213",40.440169,-79.967274,3,2,1479,monthly,w/d in unit,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-level-townhome-d-in-unit/7791704131.html
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/pittsburgh-gorgeous-shady-side-bed-bath/7791703324.html
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/pittsburgh-river-view-bedroom-move-in/7783739808.html
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/pittsburgh-bedroom-all-utilities/7790161974.html
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/pittsburgh-spacious-bedroom-with/7791699143.html
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/connellsville-close-to-public-trans/7791698967.html
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/pittsburgh-house-for-rent-in-carrick/7790955378.html
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/verona-bed-bath-with-attached-garage/7791696265.html
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/pittsburgh-high-ceilings-rooftop-pool/7790531583.html
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/pittsburgh-hardwood-floors-new-bathroom/7791692258.html
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/pittsburgh-new-to-bedroom-unit/7791693261.html
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/pittsburgh-duplex-bedroom-apartment/7791691092.html
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/greensburg-townhouse/7791692156.html
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/meadow-lands-large-bedroom-bath/7791691336.html
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/carnegie-updated-15-3rd-st-unit/7791689922.html
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/penn-bedroom-bath-duplex-for-rent/7791689738.html
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/coraopolis-bed-bath-located-in-moon/7790721369.html
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/pittsburgh-mt-washington-bedroom/7791688140.html
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/pittsburgh-incredibly-spacious-bedroom/7791686028.html
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/pittsburgh-large-closets-controlled/7791684457.html
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/pittsburgh-recessed-lighting-24/7791684208.html
